"","gemeinde_nummer","gemeinde_name_x","total_2026","gemeinde_name_y","total_2025","diff","pourc_diff","abs_pourc_diff"
"728",4034,"Neuenhof",26.21,"Neuenhof",30.03,3.82,12.72,12.72
"729",4107,"Mülligen",27.99,"Mülligen",27.94,-0.05,-0.18,0.18
"730",3271,"Buchs (SG)",29.56,"Buchs (SG)",28.58,-0.98,-3.43,3.43
"731",766,"Oberwil im Simmental",33.9,"Oberwil im Simmental",34.71,0.82,2.36,2.36
"732",4239,"Sins",31.64,"Sins",27.69,-3.95,-14.27,14.27
"733",4234,"Merenschwand",26.65,"Merenschwand",25.3,-1.35,-5.34,5.34
"734",4229,"Bünzen",25.58,"Bünzen",25.38,-0.2,-0.79,0.79
"735",4228,"Boswil",25.58,"Boswil",25.38,-0.2,-0.79,0.79
"736",4234,"Merenschwand",23.95,"Merenschwand",25.3,1.35,5.34,5.34
"737",4111,"Riniken",27.26,"Riniken",27.8,0.53,1.91,1.91
"738",4044,"Untersiggenthal",29.58,"Untersiggenthal",31.36,1.78,5.68,5.68
"739",4038,"Obersiggenthal",29.81,"Obersiggenthal",33.02,3.21,9.72,9.72
"740",4222,"Aristau",27.5,"Aristau",30.85,3.35,10.86,10.86
"741",4224,"Beinwil (Freiamt)",23.26,"Beinwil (Freiamt)",24.85,1.59,6.4,6.4
"742",6054,"Binn",22.38,"Binn",22.82,0.44,1.93,1.93
"743",4416,"Hefenhofen",30.34,"Hefenhofen",34.74,4.4,12.67,12.67
"744",112,"Bubikon",25.24,"Bubikon",27.23,1.99,7.31,7.31
"745",841,"Gsteig",33.43,"Gsteig",33.48,0.05,0.15,0.15
"746",4063,"Bremgarten (AG)",24.88,"Bremgarten (AG)",26.91,2.03,7.54,7.54
"747",4071,"Jonen",31.03,"Jonen",36.34,5.31,14.61,14.61
"748",35,"Marthalen",31.8,"Marthalen",35.44,3.64,10.27,10.27
"749",4235,"Mühlau",26.62,"Mühlau",28.26,1.64,5.8,5.8
"750",94,"Otelfingen",33.5,"Otelfingen",33.99,0.5,1.47,1.47
"751",219,"Elsau",28.72,"Elsau",29.91,1.19,3.98,3.98
"752",6289,"Saas-Balen",26.95,"Saas-Balen",28.94,1.99,6.88,6.88
"753",1010,"Escholzmatt-Marbach",32.23,"Escholzmatt-Marbach",26.18,-6.05,-23.11,23.11
"754",906,"Schangnau",31.83,"Schangnau",28.88,-2.95,-10.21,10.21
"755",907,"Signau",29.75,"Signau",28.7,-1.05,-3.66,3.66
"756",903,"Lauperswil",29,"Lauperswil",29.4,0.4,1.36,1.36
"757",4239,"Sins",23.28,"Sins",27.69,4.42,15.96,15.96
"758",6299,"Zeneggen",26.46,"Zeneggen",26.06,-0.4,-1.53,1.53
"759",1341,"Altendorf",33.14,"Altendorf",33.58,0.44,1.31,1.31
"760",2401,"Egerkingen",23.47,"Egerkingen",22.58,-0.88,-3.9,3.9
"761",4232,"Geltwil",31.36,"Geltwil",27.84,-3.52,-12.64,12.64
"762",1343,"Innerthal",38.37,"Innerthal",38.04,-0.34,-0.89,0.89
"763",3313,"Kaltbrunn",32.24,"Kaltbrunn",31.43,-0.8,-2.55,2.55
"764",2406,"Oberbuchsiten",29.95,"Oberbuchsiten",32.33,2.38,7.36,7.36
"765",793,"St. Stephan",37.33,"St. Stephan",32.37,-4.96,-15.32,15.32
"766",4551,"Aadorf",32.01,"Aadorf",34.28,2.27,6.62,6.62
"767",1208,"Göschenen",16.38,"Göschenen",15.36,-1.02,-6.64,6.64
"768",3032,"Heiden",32.78,NA,NA,NA,NA,NA
"769",3340,"Rapperswil-Jona",23.14,"Rapperswil-Jona",26.17,3.03,11.58,11.58
"770",92,"Oberglatt",27.54,"Oberglatt",29.24,1.7,5.81,5.81
"771",6077,"Goms",24.87,"Goms",27.3,2.43,8.9,8.9
"772",6076,"Obergoms",24.87,"Obergoms",25.63,0.77,3,3
"773",1406,"Sachseln",26.53,"Sachseln",26.71,0.18,0.67,0.67
"774",1405,"Lungern",26.53,"Lungern",26.71,0.18,0.67,0.67
"775",1407,"Sarnen",26.53,"Sarnen",26.71,0.18,0.67,0.67
"776",1402,"Engelberg",26.53,"Engelberg",26.71,0.18,0.67,0.67
"777",1403,"Giswil",26.53,"Giswil",26.71,0.18,0.67,0.67
"778",1401,"Alpnach",26.53,"Alpnach",26.71,0.18,0.67,0.67
"779",1404,"Kerns",26.53,"Kerns",26.71,0.18,0.67,0.67
"780",6287,"Randa",17.13,"Randa",16.62,-0.51,-3.07,3.07
"781",1345,"Reichenburg",33.72,NA,NA,NA,NA,NA
"782",97,"Rümlang",27.44,"Rümlang",32.19,4.75,14.76,14.76
"783",1321,"Feusisberg",25.73,"Feusisberg",25.51,-0.22,-0.86,0.86
"784",3338,"Schmerikon",29.48,"Schmerikon",32.41,2.93,9.04,9.04
"785",3274,"Sennwald",27.58,"Sennwald",32.85,5.26,16.01,16.01
"786",3006,"Urnäsch",29.98,"Urnäsch",28.48,-1.5,-5.27,5.27
"787",1212,"Realp",24.7,"Realp",30.93,6.22,20.11,20.11
"788",1210,"Hospental",24.7,"Hospental",30.93,6.22,20.11,20.11
"789",1202,"Andermatt",24.7,"Andermatt",30.93,6.22,20.11,20.11
"790",3339,"Uznach",29.5,"Uznach",32.19,2.68,8.33,8.33
"791",3603,"Vals",19.24,"Vals",17.16,-2.08,-12.12,12.12
"792",3544,"Bergün Filisur",36.47,"Bergün Filisur",32.58,-3.89,-11.94,11.94
"793",3662,"Flerden",24.31,"Flerden",23.79,-0.52,-2.19,2.19
"794",3661,"Cazis",24.31,"Cazis",23.79,-0.52,-2.19,2.19
"795",3673,"Domleschg",24.31,"Domleschg",23.79,-0.52,-2.19,2.19
"796",3633,"Fürstenau",24.31,"Fürstenau",23.79,-0.52,-2.19,2.19
"797",3670,"Urmein",24.31,"Urmein",23.79,-0.52,-2.19,2.19
"798",3637,"Rothenbrunnen",24.31,"Rothenbrunnen",23.79,-0.52,-2.19,2.19
"799",3669,"Tschappina",24.31,"Tschappina",23.79,-0.52,-2.19,2.19
"800",3663,"Masein",24.31,"Masein",23.79,-0.52,-2.19,2.19
"801",261,"Zürich",24.76,"Zürich",24.24,-0.52,-2.15,2.15
"802",2914,"Büttenhardt",32.2,"Büttenhardt",32.52,0.32,0.98,0.98
"803",2915,"Dörflingen",32.2,"Dörflingen",32.52,0.32,0.98,0.98
"804",2901,"Gächlingen",32.2,"Gächlingen",32.52,0.32,0.98,0.98
"805",2931,"Bargen (SH)",32.2,"Bargen (SH)",32.52,0.32,0.98,0.98
"806",2963,"Ramsen",32.2,"Ramsen",32.52,0.32,0.98,0.98
"807",2938,"Rüdlingen",32.2,"Rüdlingen",32.52,0.32,0.98,0.98
"808",2939,"Schaffhausen",32.2,"Schaffhausen",31.9,-0.29,-0.91,0.91
"809",2937,"Neuhausen am Rheinfall",32.2,"Neuhausen am Rheinfall",32.52,0.32,0.98,0.98
"810",2952,"Schleitheim",32.2,"Schleitheim",32.52,0.32,0.98,0.98
"811",2920,"Thayngen",32.2,"Thayngen",32.52,0.32,0.98,0.98
"812",2971,"Hallau",32.2,"Hallau",32.52,0.32,0.98,0.98
"813",2962,"Hemishofen",32.2,"Hemishofen",32.52,0.32,0.98,0.98
"814",2961,"Buch (SH)",32.2,"Buch (SH)",32.52,0.32,0.98,0.98
"815",2974,"Wilchingen",32.2,"Wilchingen",32.52,0.32,0.98,0.98
"816",2903,"Löhningen",32.2,"Löhningen",32.52,0.32,0.98,0.98
"817",2953,"Siblingen",32.2,"Siblingen",32.52,0.32,0.98,0.98
"818",2951,"Beggingen",32.2,"Beggingen",32.52,0.32,0.98,0.98
"819",2973,"Trasadingen",32.2,"Trasadingen",32.52,0.32,0.98,0.98
"820",2964,"Stein am Rhein",32.2,"Stein am Rhein",32.52,0.32,0.98,0.98
"821",2972,"Oberhallau",32.2,"Oberhallau",32.52,0.32,0.98,0.98
"822",2933,"Buchberg",32.2,"Buchberg",32.52,0.32,0.98,0.98
"823",2904,"Neunkirch",32.2,"Neunkirch",32.52,0.32,0.98,0.98
"824",2917,"Lohn (SH)",32.2,"Lohn (SH)",32.52,0.32,0.98,0.98
"825",2932,"Beringen",32.2,"Beringen",32.52,0.32,0.98,0.98
"826",2919,"Stetten (SH)",32.2,"Stetten (SH)",32.52,0.32,0.98,0.98
"827",2936,"Merishausen",32.2,"Merishausen",32.52,0.32,0.98,0.98
"828",6298,"Visperterminen",23.5,"Visperterminen",23.42,-0.08,-0.34,0.34
"829",298,"Wiesendangen",24.14,"Wiesendangen",27.51,3.37,12.25,12.25
"830",139,"Rüschlikon",24.14,"Rüschlikon",27.51,3.37,12.25,12.25
"831",25,"Dachsen",24.14,"Dachsen",27.51,3.37,12.25,12.25
"832",245,"Oberengstringen",24.14,"Oberengstringen",27.51,3.37,12.25,12.25
"833",1,"Aeugst am Albis",24.14,"Aeugst am Albis",27.51,3.37,12.25,12.25
"834",63,"Lufingen",24.14,"Lufingen",27.51,3.37,12.25,12.25
"835",153,"Hombrechtikon",24.14,"Hombrechtikon",27.51,3.37,12.25,12.25
"836",86,"Dielsdorf",24.14,"Dielsdorf",27.51,3.37,12.25,12.25
"837",64,"Nürensdorf",24.14,"Nürensdorf",27.51,3.37,12.25,12.25
"838",192,"Egg",24.14,"Egg",27.51,3.37,12.25,12.25
"839",199,"Volketswil",24.14,"Volketswil",27.51,3.37,12.25,12.25
"840",92,"Oberglatt",24.14,"Oberglatt",29.24,5.1,17.44,17.44
"841",249,"Unterengstringen",24.14,"Unterengstringen",27.51,3.37,12.25,12.25
"842",96,"Regensdorf",24.14,"Regensdorf",27.51,3.37,12.25,12.25
"843",181,"Wila",24.14,"Wila",27.51,3.37,12.25,12.25
"844",85,"Dänikon",24.14,"Dänikon",27.51,3.37,12.25,12.25
"845",215,"Dättlikon",24.14,"Dättlikon",27.51,3.37,12.25,12.25
"846",33,"Kleinandelfingen",24.14,"Kleinandelfingen",27.51,3.37,12.25,12.25
"847",296,"Illnau-Effretikon",24.14,"Illnau-Effretikon",27.51,3.37,12.25,12.25
