"","gemeinde_nummer","gemeinde_f","total","tooltip"
"1",4551,"Aadorf",36.4,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£Elektra Häuslenen$/td£$td style='background-color:#d13728@color:black@text-align:right@'£36.4$/td£$td style='text-align:right@'£21.03$/td£$td style='text-align:right@'£0$/td£$td style='text-align:right@'£13.08$/td£$td style='text-align:right@'£2.3$/td£$/tr£$tr£$td£Elektrizitätswerk Aadorf$/td£$td style='background-color:#ee923c@color:black@text-align:right@'£32.16$/td£$td style='text-align:right@'£16.6$/td£$td style='text-align:right@'£0$/td£$td style='text-align:right@'£13.26$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"2",4001,"Aarau",27.45,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£Eniwa AG$/td£$td style='background-color:#b0dac2@color:black@text-align:right@'£27.45$/td£$td style='text-align:right@'£10.85$/td£$td style='text-align:right@'£0.85$/td£$td style='text-align:right@'£13.44$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"3",301,"Aarberg",37.4,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£EWA Energie Wasser Aarberg AG$/td£$td style='background-color:#d13728@color:black@text-align:right@'£37.4$/td£$td style='text-align:right@'£18.45$/td£$td style='text-align:right@'£0.4$/td£$td style='text-align:right@'£16.25$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"4",4271,"Aarburg",32.48,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£tba energie ag$/td£$td style='background-color:#ee923c@color:black@text-align:right@'£32.48$/td£$td style='text-align:right@'£16.3$/td£$td style='text-align:right@'£0.6$/td£$td style='text-align:right@'£13.28$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"5",321,"Aarwangen",32.04,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£Einwohnergemeinde Aarwangen§ Elektrizitätsversorgung$/td£$td style='background-color:#ee923c@color:black@text-align:right@'£32.04$/td£$td style='text-align:right@'£18.39$/td£$td style='text-align:right@'£1$/td£$td style='text-align:right@'£10.35$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"6",4221,"Abtwil",30,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£ELEKTRA Genossenschaft Abtwil$/td£$td style='background-color:#e6cc84@color:black@text-align:right@'£30$/td£$td style='text-align:right@'£16.5$/td£$td style='text-align:right@'£0.25$/td£$td style='text-align:right@'£10.95$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"7",5621,"Aclens",30.36,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£Romande Energie SA$/td£$td style='background-color:#e6cc84@color:black@text-align:right@'£30.36$/td£$td style='text-align:right@'£12.81$/td£$td style='text-align:right@'£1.32$/td£$td style='text-align:right@'£13.93$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"8",5048,"Acquarossa",34.04,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£Società Elettrica Sopracenerina SA (Ticino¢$/td£$td style='background-color:#d13728@color:black@text-align:right@'£34.04$/td£$td style='text-align:right@'£13.75$/td£$td style='text-align:right@'£2.23$/td£$td style='text-align:right@'£15.76$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"9",561,"Adelboden",31.49,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£Licht- und Wasserwerk Adelboden AG$/td£$td style='background-color:#ee923c@color:black@text-align:right@'£31.49$/td£$td style='text-align:right@'£13.84$/td£$td style='text-align:right@'£0.27$/td£$td style='text-align:right@'£15.08$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"10",1051,"Adligenswil",21.29,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£CKW AG$/td£$td style='background-color:#436b88@color:white@text-align:right@'£21.29$/td£$td style='text-align:right@'£8.5$/td£$td style='text-align:right@'£0.95$/td£$td style='text-align:right@'£9.54$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
