"","gemeinde_nummer","gemeinde_f","total","tooltip"
"11",131,"Adliswil",27.51,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£Elektrizitätswerke des Kantons Zürich (EKZ¢$/td£$td style='background-color:#b0dac2@color:black@text-align:right@'£27.51$/td£$td style='text-align:right@'£15.73$/td£$td style='text-align:right@'£0.16$/td£$td style='text-align:right@'£9.31$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"12",2421,"Aedermannsdorf",28.11,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£Genossenschaft Elektra Thal$/td£$td style='background-color:#e6cc84@color:black@text-align:right@'£28.11$/td£$td style='text-align:right@'£15.2$/td£$td style='text-align:right@'£0$/td£$td style='text-align:right@'£10.61$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"13",401,"Aefligen",31.19,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£Genossenschaft Elektra§ Jegenstorf$/td£$td style='background-color:#ee923c@color:black@text-align:right@'£31.19$/td£$td style='text-align:right@'£14.9$/td£$td style='text-align:right@'£0.89$/td£$td style='text-align:right@'£13.1$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"14",731,"Aegerten",40.65,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£Einwohnergemeinde Aegerten§ Elektroversorgung$/td£$td style='background-color:#d13728@color:black@text-align:right@'£40.65$/td£$td style='text-align:right@'£22.8$/td£$td style='text-align:right@'£2.1$/td£$td style='text-align:right@'£13.45$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"15",2761,"Aesch (BL)",32.64,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£Primeo Netz AG$/td£$td style='background-color:#ee923c@color:black@text-align:right@'£32.64$/td£$td style='text-align:right@'£15.26$/td£$td style='text-align:right@'£0.61$/td£$td style='text-align:right@'£14.47$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"16",1021,"Aesch (LU)",21.29,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£CKW AG$/td£$td style='background-color:#436b88@color:white@text-align:right@'£21.29$/td£$td style='text-align:right@'£8.5$/td£$td style='text-align:right@'£0.95$/td£$td style='text-align:right@'£9.54$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"17",241,"Aesch (ZH)",27.51,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£Elektrizitätswerke des Kantons Zürich (EKZ¢$/td£$td style='background-color:#b0dac2@color:black@text-align:right@'£27.51$/td£$td style='text-align:right@'£15.73$/td£$td style='text-align:right@'£0.16$/td£$td style='text-align:right@'£9.31$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"18",2511,"Aeschi (SO)",28.2,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£BKW Energie AG$/td£$td style='background-color:#e6cc84@color:black@text-align:right@'£28.2$/td£$td style='text-align:right@'£11.39$/td£$td style='text-align:right@'£1.1$/td£$td style='text-align:right@'£13.41$/td£$td style='text-align:right@'£2.3$/td£$/tr£$tr£$td£Genossenschaft Elektra Äusseres Wasseramt EAW$/td£$td style='background-color:#d13728@color:black@text-align:right@'£36.24$/td£$td style='text-align:right@'£21.61$/td£$td style='text-align:right@'£0$/td£$td style='text-align:right@'£12.33$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"19",562,"Aeschi bei Spiez",28.6,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£BKW Energie AG$/td£$td style='background-color:#e6cc84@color:black@text-align:right@'£28.6$/td£$td style='text-align:right@'£11.39$/td£$td style='text-align:right@'£1.5$/td£$td style='text-align:right@'£13.41$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"20",1,"Aeugst am Albis",27.51,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£Elektrizitätswerke des Kantons Zürich (EKZ¢$/td£$td style='background-color:#b0dac2@color:black@text-align:right@'£27.51$/td£$td style='text-align:right@'£15.73$/td£$td style='text-align:right@'£0.16$/td£$td style='text-align:right@'£9.31$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"21",4711,"Affeltrangen",28.76,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£Technische Werke der Politischen Gemeinde Affeltrangen§ Abwasserentsorgung$/td£$td style='background-color:#e6cc84@color:black@text-align:right@'£28.76$/td£$td style='text-align:right@'£17.09$/td£$td style='text-align:right@'£0.25$/td£$td style='text-align:right@'£9.12$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"22",2,"Affoltern am Albis",27.51,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£Elektrizitätswerke des Kantons Zürich (EKZ¢$/td£$td style='background-color:#b0dac2@color:black@text-align:right@'£27.51$/td£$td style='text-align:right@'£15.73$/td£$td style='text-align:right@'£0.16$/td£$td style='text-align:right@'£9.31$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"23",951,"Affoltern im Emmental",28.6,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£BKW Energie AG$/td£$td style='background-color:#e6cc84@color:black@text-align:right@'£28.6$/td£$td style='text-align:right@'£11.39$/td£$td style='text-align:right@'£1.5$/td£$td style='text-align:right@'£13.41$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"24",6101,"Agarn",23.94,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£RELL AG$/td£$td style='background-color:#436b88@color:white@text-align:right@'£23.94$/td£$td style='text-align:right@'£8.88$/td£$td style='text-align:right@'£0$/td£$td style='text-align:right@'£12.76$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"25",5742,"Agiez",30.36,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£Romande Energie SA$/td£$td style='background-color:#e6cc84@color:black@text-align:right@'£30.36$/td£$td style='text-align:right@'£12.81$/td£$td style='text-align:right@'£1.32$/td£$td style='text-align:right@'£13.93$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"26",5141,"Agno",27.78,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£Aziende Industriali di Lugano (AIL¢ SA$/td£$td style='background-color:#e6cc84@color:black@text-align:right@'£27.78$/td£$td style='text-align:right@'£11.25$/td£$td style='text-align:right@'£2.23$/td£$td style='text-align:right@'£12$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"27",5401,"Aigle",30.96,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£Romande Energie SA$/td£$td style='background-color:#ee923c@color:black@text-align:right@'£30.96$/td£$td style='text-align:right@'£12.81$/td£$td style='text-align:right@'£1.92$/td£$td style='text-align:right@'£13.93$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"28",6601,"Aire-la-Ville",25.13,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£Services industriels de Genève$/td£$td style='background-color:#b0dac2@color:black@text-align:right@'£25.13$/td£$td style='text-align:right@'£10.5$/td£$td style='text-align:right@'£1.41$/td£$td style='text-align:right@'£10.92$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"29",5061,"Airolo",24.89,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£Azienda energia comunale$/td£$td style='background-color:#b0dac2@color:black@text-align:right@'£24.89$/td£$td style='text-align:right@'£6.6$/td£$td style='text-align:right@'£2.23$/td£$td style='text-align:right@'£13.76$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"30",1121,"Alberswil",21.29,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£CKW AG$/td£$td style='background-color:#436b88@color:white@text-align:right@'£21.29$/td£$td style='text-align:right@'£8.5$/td£$td style='text-align:right@'£0.95$/td£$td style='text-align:right@'£9.54$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"31",6102,"Albinen",23.94,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£RELL AG$/td£$td style='background-color:#436b88@color:white@text-align:right@'£23.94$/td£$td style='text-align:right@'£8.88$/td£$td style='text-align:right@'£0$/td£$td style='text-align:right@'£12.76$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"32",3542,"Albula/Alvra",29,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£Gemeinde Albula/Alvra$/td£$td style='background-color:#e6cc84@color:black@text-align:right@'£29$/td£$td style='text-align:right@'£12.5$/td£$td style='text-align:right@'£0$/td£$td style='text-align:right@'£14.2$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"33",402,"Alchenstorf",28.6,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£BKW Energie AG$/td£$td style='background-color:#e6cc84@color:black@text-align:right@'£28.6$/td£$td style='text-align:right@'£11.39$/td£$td style='text-align:right@'£1.5$/td£$td style='text-align:right@'£13.41$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"34",5851,"Allaman",36,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£Société Electrique des Forces de l'Aubonne SA (SEFA¢$/td£$td style='background-color:#d13728@color:black@text-align:right@'£36$/td£$td style='text-align:right@'£16.96$/td£$td style='text-align:right@'£1.32$/td£$td style='text-align:right@'£15.42$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"35",6771,"Alle",28.8,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£BKW Energie AG$/td£$td style='background-color:#e6cc84@color:black@text-align:right@'£28.8$/td£$td style='text-align:right@'£11.39$/td£$td style='text-align:right@'£1.7$/td£$td style='text-align:right@'£13.41$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"36",630,"Allmendingen",28.6,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£BKW Energie AG$/td£$td style='background-color:#e6cc84@color:black@text-align:right@'£28.6$/td£$td style='text-align:right@'£11.39$/td£$td style='text-align:right@'£1.5$/td£$td style='text-align:right@'£13.41$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"37",2762,"Allschwil",32.64,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£Primeo Netz AG$/td£$td style='background-color:#ee923c@color:black@text-align:right@'£32.64$/td£$td style='text-align:right@'£15.26$/td£$td style='text-align:right@'£0.61$/td£$td style='text-align:right@'£14.47$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"38",1401,"Alpnach",26.71,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£Elektrizitätswerk Obwalden$/td£$td style='background-color:#b0dac2@color:black@text-align:right@'£26.71$/td£$td style='text-align:right@'£9.89$/td£$td style='text-align:right@'£1.4$/td£$td style='text-align:right@'£13.12$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"39",1361,"Alpthal",27.18,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£EWS AG$/td£$td style='background-color:#b0dac2@color:black@text-align:right@'£27.18$/td£$td style='text-align:right@'£12.84$/td£$td style='text-align:right@'£0$/td£$td style='text-align:right@'£12.04$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"40",1122,"Altbüron",21.29,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£CKW AG$/td£$td style='background-color:#436b88@color:white@text-align:right@'£21.29$/td£$td style='text-align:right@'£8.5$/td£$td style='text-align:right@'£0.95$/td£$td style='text-align:right@'£9.54$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"41",1201,"Altdorf (UR)",30.01,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£EWA-energieUri AG$/td£$td style='background-color:#e6cc84@color:black@text-align:right@'£30.01$/td£$td style='text-align:right@'£14.05$/td£$td style='text-align:right@'£1$/td£$td style='text-align:right@'£12.66$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"42",1341,"Altendorf",33.58,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£Elektrizitätsversorgung Altendorf AG$/td£$td style='background-color:#d13728@color:black@text-align:right@'£33.58$/td£$td style='text-align:right@'£18.02$/td£$td style='text-align:right@'£0$/td£$td style='text-align:right@'£13.27$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"43",211,"Altikon",27.51,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£Elektrizitätswerke des Kantons Zürich (EKZ¢$/td£$td style='background-color:#b0dac2@color:black@text-align:right@'£27.51$/td£$td style='text-align:right@'£15.73$/td£$td style='text-align:right@'£0.16$/td£$td style='text-align:right@'£9.31$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"44",1123,"Altishofen",21.29,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£CKW AG$/td£$td style='background-color:#436b88@color:white@text-align:right@'£21.29$/td£$td style='text-align:right@'£8.5$/td£$td style='text-align:right@'£0.95$/td£$td style='text-align:right@'£9.54$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"45",4641,"Altnau",27.77,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£Politische Gemeinde Altnau§ Elektrizitätsversorgung$/td£$td style='background-color:#e6cc84@color:black@text-align:right@'£27.77$/td£$td style='text-align:right@'£13.8$/td£$td style='text-align:right@'£0.3$/td£$td style='text-align:right@'£11.36$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"46",5237,"Alto Malcantone",27.78,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£Aziende Industriali di Lugano (AIL¢ SA$/td£$td style='background-color:#e6cc84@color:black@text-align:right@'£27.78$/td£$td style='text-align:right@'£11.25$/td£$td style='text-align:right@'£2.23$/td£$td style='text-align:right@'£12$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
